GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "17000","Illinois",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",48484524,51524271,55317370,60029922,66967657,73216354,79866258,86832272,95459667,105341668,115569523,125210963,138876970,147011703,153020000,168717146,177209780,186405471,197182970,212642707,226917198,240801311,245871942,265737040,275362591,290054676,307809314,327552925,346339144,367350200,383422716,412423055,427473310,432411991,439954703,457435410,476560054,508470324,538060086,551530997,525210738,540492620,567967515,593239141,607671375,637279963,665490089,672019862,693273707,727064080,744640727
 "17000","Illinois",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",11039000,11124681,11205816,11258111,11260248,11273745,11306351,11360274,11406312,11434421,11422782,11434702,11443461,11423413,11408817,11412128,11399803,11387256,11391176,11390186,11409782,11453316,11568964,11694184,11809579,11912585,12008437,12101997,12185715,12271847,12359020,12434161,12488445,12525556,12556006,12589773,12609903,12643955,12695866,12747038,12796778,12840503,12867454,12882510,12895129,12884493,12858913,12820527,12778828,12723071,12671821
 "17000","Illinois",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4392,4632,4936,5332,5947,6494,7064,7644,8369,9213,10117,10950,12136,12869,13412,14784,15545,16370,17310,18669,19888,21025,21253,22724,23317,24349,25633,27066,28422,29934,31024,33169,34230,34522,35039,36334,37793,40214,42381,43267,41042,42093,44140,46050,47124,49461,51753,52417,54252,57145,58764
 "17001","Adams, IL",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",254479,271131,302335,334037,385498,400075,446121,473878,510360,556895,623222,662565,734653,794467,802684,868160,886592,910399,940678,1008211,1057473,1102881,1130301,1214883,1245449,1336227,1399913,1482114,1542301,1611057,1627937,1725522,1800524,1842786,1920388,2010116,2008106,2096407,2220305,2352872,2337558,2460295,2559708,2653797,2685601,2755082,2845676,2879336,2959446,3076377,3134202
 "17001","Adams, IL",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",70840,70696,70526,71906,72739,72721,72325,71944,71281,71637,71274,71588,71325,71174,70392,69501,68547,67405,66829,66691,66356,66109,66689,66920,67558,68394,68636,68680,68715,68681,68430,68183,68014,67776,67267,66818,66920,67106,66943,66943,67039,67160,67211,67139,66999,66966,66835,66475,66057,65623,65435
 "17001","Adams, IL",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3592,3835,4287,4645,5300,5502,6168,6587,7160,7774,8744,9255,10300,11162,11403,12491,12934,13506,14076,15118,15936,16683,16949,18154,18435,19537,20396,21580,22445,23457,23790,25307,26473,27189,28549,30083,30008,31240,33167,35147,34869,36633,38085,39527,40084,41142,42578,43315,44801,46880,47898
 "17003","Alexander, IL",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",30459,32288,36269,38505,41923,49242,57674,62403,66913,68691,76093,81074,89811,97834,104805,108959,116095,110355,112718,116469,127056,123798,130368,139428,140767,142272,147100,155026,159746,160311,162731,168027,172138,176518,180088,186087,186240,186983,192862,204045,209612,219201,212019,203659,218082,212828,214834,212606,212490,214127,217324
 "17003","Alexander, IL",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",12442,12010,12173,12253,12311,12094,12379,12746,12624,12219,12285,12280,12323,12056,11948,11945,11677,11415,11342,11137,10776,10579,10518,10452,10265,10053,9989,9889,9659,9632,9621,9684,9592,9592,9254,9186,8914,8730,8552,8461,8295,8206,7992,7717,7238,7083,6762,6459,6278,6041,5761
 "17003","Alexander, IL",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2448,2688,2979,3142,3405,4072,4659,4896,5300,5622,6194,6602,7288,8115,8772,9122,9942,9668,9938,10458,11791,11702,12395,13340,13713,14152,14726,15677,16539,16644,16914,17351,17946,18403,19461,20258,20893,21418,22552,24116,25270,26712,26529,26391,30130,30048,31771,32916,33847,35446,37723
 "17005","Bond, IL",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",45517,48484,53320,61087,72857,75911,90714,97849,108379,115459,129195,130755,149610,156100,156499,177559,179332,186981,194117,205841,219126,223306,226906,254382,268715,295024,306812,329319,349660,367442,395750,420690,447685,445773,457938,482222,475015,490995,487322,511330,507478,528649,546046,544390,549868,544526,560111,576961,585283,613806,622062
 "17005","Bond, IL",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",14056,14047,14411,14950,15265,15544,15573,15838,15975,15667,16230,16282,16489,16132,15932,15748,15599,15538,15503,15321,15004,15027,15165,15251,15396,16076,17100,17267,17378,17588,17532,17659,17586,17735,17960,18101,17988,18004,18077,17916,17747,17787,17726,17537,17331,17070,16686,16546,16648,16637,16426
 "17005","Bond, IL",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3238,3452,3700,4086,4773,4884,5825,6178,6784,7370,7960,8031,9073,9676,9823,11275,11496,12034,12521,13435,14605,14860,14962,16680,17454,18352,17942,19072,20121,20892,22573,23823,25457,25135,25498,26641,26407,27271,26958,28540,28595,29721,30805,31042,31727,31900,33568,34870,35156,36894,37871
 "17007","Boone, IL",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",106828,113982,127652,136500,155062,165886,185301,197434,208751,244706,271904,281003,315774,321739,343328,402036,435666,463867,477978,534549,560998,582206,592539,652808,697871,790310,861865,925780,983219,1058737,1167831,1194212,1220987,1271041,1341030,1402941,1530104,1718185,1851666,1935629,1849977,1890144,2016241,2091197,2127014,2172470,2253843,2340140,2414402,2513863,2553079
 "17007","Boone, IL",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",24986,25427,25643,26392,27038,27383,27413,27625,28038,28686,29238,28750,29179,29213,29133,29175,29483,29629,29641,30111,30361,30981,31810,32901,33933,35268,36651,37956,38853,39864,40844,42052,43220,44585,46242,47893,49725,51797,53512,54211,54154,54101,54131,53735,53747,53714,53579,53570,53513,53480,53544
 "17007","Boone, IL",3,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4276,4483,4978,5172,5735,6058,6760,7147,7445,8531,9300,9774,10822,11014,11785,13780,14777,15656,16126,17753,18478,18792,18627,19842,20566,22409,23515,24391,25306,26559,28592,28398,28251,28508,29000,29293,30771,33172,34603,35705,34161,34937,37247,38917,39575,40445,42066,43684,45118,47006,47682
 "17009","Brown, IL",3,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",16954,18293,20405,24233,29264,28916,35962,34781,37322,42362,46979,44576,53728,56820,54084,63077,65378,66288,66285,62068,71433,68428,70428,80684,84996,89948,92002,102354,105796,112490,107764,116135,129584,126151,135602,148646,139228,141479,146447,151047,162194,174770,181948,193045,206654,197669,203927,209234,219323,232434,246677
 "17009","Brown, IL",3,CAINC1,2,"...","Population (persons) 1/","Number of persons",5662,5608,5769,5577,5541,5551,5618,5674,5645,5446,5531,5450,5601,5588,5726,5821,5736,5615,5676,5659,5761,5851,6171,6225,6155,6347,6401,6765,6815,6922,6948,6977,6984,6925,6997,6968,6917,6875,6833,6896,6963,6919,6882,6890,6864,6832,6753,6637,6609,6563,6578
