GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "54000","West Virginia",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",4944141,5511837,6051556,6700698,7333218,8128736,9186126,10241128,11457287,12752672,14222561,15632663,17051166,18069361,18550227,19940683,20765614,21261444,21785013,23237559,24600986,26186226,27308245,29404386,30498832,31820522,32894704,34208841,35630179,37135356,38151689,40353046,42783818,44239096,44869797,46477004,48861015,52193670,54128768,57523713,57948920,59927684,63349207,65206189,64785022,66863558,68269093,67928706,70729864,74321622,75834630
 "54000","West Virginia",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",1746000,1746629,1770252,1796910,1805293,1814048,1840548,1877440,1905628,1920342,1939062,1951349,1954125,1949605,1945058,1927696,1906831,1882352,1857583,1830213,1806570,1792548,1798735,1806451,1817539,1820421,1823700,1822808,1819113,1815609,1811799,1807021,1801481,1805414,1812295,1816438,1820492,1827912,1834052,1840310,1847775,1854239,1856301,1856872,1853914,1849489,1842050,1831023,1817004,1804291,1792147
 "54000","West Virginia",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2832,3156,3418,3729,4062,4481,4991,5455,6012,6641,7335,8011,8726,9268,9537,10344,10890,11295,11728,12697,13618,14608,15182,16277,16780,17480,18037,18767,19587,20453,21057,22331,23749,24504,24759,25587,26839,28554,29513,31258,31361,32319,34127,35116,34945,36152,37061,37099,38927,41192,42315
 "54001","Barbour, WV",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",31306,34785,40806,48231,53730,58275,69152,74477,84303,90734,103443,114384,125181,135825,135077,145391,147288,149694,147360,154516,162597,169536,177686,191673,202300,211650,215457,225454,236885,244879,251546,266657,277815,294782,304657,318586,334922,365024,386250,413559,423275,438235,458715,484707,477920,488093,491620,489872,504420,536142,552398
 "54001","Barbour, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",13809,14166,14721,14975,15080,15083,15352,15864,15975,15965,16158,16661,16736,16734,16738,16852,16754,16479,16255,15964,15730,15675,15572,15760,15806,15925,15948,15981,15698,15735,15616,15560,15436,15569,15639,15629,15722,15922,16036,16241,16479,16610,16600,16869,16871,16902,16973,16749,16515,16487,16441
 "54001","Barbour, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2267,2456,2772,3221,3563,3864,4504,4695,5277,5683,6402,6865,7480,8117,8070,8628,8791,9084,9066,9679,10337,10816,11411,12162,12799,13290,13510,14108,15090,15563,16108,17137,17998,18934,19481,20384,21303,22926,24086,25464,25686,26384,27633,28734,28328,28878,28965,29248,30543,32519,33599
 "54003","Berkeley, WV",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",126726,134820,148849,167079,187624,208309,229837,254554,282243,322075,364255,404357,452311,486830,518485,585646,631825,682908,739951,818777,897470,952270,989603,1061799,1116306,1170327,1239979,1322597,1439947,1522954,1614544,1794760,1943391,2088039,2257526,2433556,2690866,2953793,3126320,3310837,3332644,3485184,3656258,3800496,3846971,3997656,4173058,4368966,4574929,4834319,5061540
 "54003","Berkeley, WV",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",37570,36437,37181,38572,39750,40917,41549,43008,43776,44038,45311,46995,47829,48528,49664,50337,51160,52227,53472,55546,57276,59839,61582,63010,64396,65800,67117,68667,70061,72285,74366,76357,78428,80875,84524,88258,92114,96318,99132,101629,102830,104621,105743,106965,108495,110191,111678,113489,115073,117236,119171
 "54003","Berkeley, WV",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3373,3700,4003,4332,4720,5091,5532,5919,6447,7314,8039,8604,9457,10032,10440,11635,12350,13076,13838,14741,15669,15914,16070,16851,17335,17786,18475,19261,20553,21069,21711,23505,24779,25818,26709,27573,29212,30667,31537,32578,32409,33312,34577,35530,35458,36279,37367,38497,39757,41236,42473
 "54005","Boone, WV",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",61783,77173,85509,103212,117437,137155,153729,165988,191286,220515,246460,263057,275873,318348,309596,324870,325536,334641,344817,352203,327938,354728,396710,398812,385351,425396,433215,431061,436672,454210,463368,475966,483347,506738,519942,538876,572544,620347,653977,728359,720409,741329,796979,783333,735487,726749,723093,691884,718984,765269,764201
