GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "46000","South Dakota",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2076428,2257360,2473054,2855440,3605287,3612015,3972044,3932814,4462560,5142463,5664877,5712803,6651833,7010243,7270580,8272263,8480553,8847482,9335729,9747500,10492389,11484576,11966633,12941824,13530952,14587928,14883534,16444959,16805793,18150084,19005861,20280897,20948101,20939789,22890649,24579004,26112459,27544617,30604699,32691303,31794583,33596158,36741854,37659439,38108591,39872220,41570703,42048965,43457295,46248924,47738131
 "46000","South Dakota",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",668000,666641,671382,677389,678939,679877,681420,686843,688992,689293,689018,690851,689584,690597,693009,697250,698404,696036,696034,698160,696698,697101,703669,712801,722159,730790,737925,742213,744223,746058,750412,755844,757972,760020,763729,770396,775493,783033,791623,799124,807067,816166,823579,833566,842316,849129,853988,862996,872868,878698,884659
 "46000","South Dakota",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3108,3386,3684,4215,5310,5313,5829,5726,6477,7460,8222,8269,9646,10151,10491,11864,12143,12711,13413,13962,15060,16475,17006,18156,18737,19962,20169,22157,22582,24328,25327,26832,27637,27552,29972,31904,33672,35177,38661,40909,39395,41163,44612,45179,45243,46957,48678,48724,49787,52633,53962
 "46003","Aurora, SD",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",11230,12095,12174,15900,22024,20874,18491,17922,21466,21805,22893,20268,25662,30497,23633,33535,33814,35152,38521,32988,37362,46157,45395,52530,48311,53535,44618,62957,60508,68066,70819,79583,78243,70670,98570,95444,81721,82359,112894,124929,104871,101498,139281,112100,115868,109313,107607,102030,99502,107928,111991
 "46003","Aurora, SD",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",4161,4238,4454,4235,4102,4032,3995,3996,3896,3796,3717,3624,3605,3551,3521,3512,3375,3318,3305,3260,3161,3130,3050,3033,3056,3057,3117,3064,3058,3063,3038,3045,2946,2869,2862,2860,2789,2775,2745,2750,2712,2701,2716,2762,2715,2743,2744,2764,2769,2785,2751
 "46003","Aurora, SD",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2699,2854,2733,3754,5369,5177,4629,4485,5510,5744,6159,5593,7118,8588,6712,9549,10019,10594,11655,10119,11820,14747,14884,17319,15809,17512,14314,20547,19787,22222,23311,26136,26559,24632,34441,33372,29301,29679,41127,45429,38669,37578,51282,40587,42677,39852,39215,36914,35934,38753,40709
 "46005","Beadle, SD",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",71312,77023,83358,92808,111014,113584,121990,124235,137581,155756,174143,179865,204822,213496,206827,235824,242794,250230,265559,273674,293003,307932,313074,332423,355731,379217,369740,421358,423192,432704,456799,481942,474124,449074,481043,530024,540209,567644,648000,763657,706017,675880,860364,780685,806080,853761,896906,908723,871237,886144,913807
 "46005","Beadle, SD",4,CAINC1,2,"...","Population (persons) 1/","Number of persons",20910,20824,20698,20532,20604,20847,20465,20242,19774,19463,19385,19190,19132,19088,18755,18547,18440,18367,18427,18221,18243,18288,18090,18070,18092,18263,18364,18401,18272,17501,17097,17030,16952,16767,16504,16370,16304,16149,16489,16810,17288,17406,17708,17994,18201,18056,18127,18188,18541,18423,18453
 "46005","Beadle, SD",4,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3410,3699,4027,4520,5388,5448,5961,6137,6958,8003,8983,9373,10706,11185,11028,12715,13167,13624,14411,15020,16061,16838,17306,18396,19662,20764,20134,22899,23161,24725,26718,28300,27969,26783,29147,32378,33134,35150,39299,45429,40839,38830,48586,43386,44288,47284,49479,49963,46990,48100,49521
 "46007","Bennett, SD",4,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",7578,9359,9217,11863,18728,14180,15713,13684,15350,17080,18022,18967,21185,20837,25278,30790,26830,32362,30357,30959,35594,41247,41238,41057,51658,45617,53511,54643,54558,59724,67460,72636,73947,65856,80144,76606,89983,79013,84760,89926,88855,89527,92525,101875,101141,109927,112857,107410,113398,124252,123693
